=== Building runtime with case_study_instantiation_time feature ===
=== Building inferlib dependencies ===
=== Building std/text-completion ===
=== Building sdk/examples-inferlib cases ===

============================================================
  text-completion (0 inferlib deps, 1000 runs)
============================================================
  Starting engine... installing deps... warm-up... done.
  Run 242/1000: submitting... store+linker=391.7 us, deps=0.5 us, app=179.7 us, total=572.4 us
  Run 243/1000: submitting... store+linker=167.6 us, deps=0.2 us, app=142.6 us, total=310.7 us
  Run 244/1000: submitting... store+linker=156.5 us, deps=0.2 us, app=121.6 us, total=278.6 us
  Run 245/1000: submitting... store+linker=226.4 us, deps=0.4 us, app=140.8 us, total=367.9 us
  Run 246/1000: submitting... store+linker=179.9 us, deps=0.3 us, app=118.5 us, total=299.0 us
  Run 247/1000: submitting... store+linker=330.2 us, deps=0.5 us, app=158.2 us, total=489.4 us
  Run 248/1000: submitting... store+linker=301.2 us, deps=0.4 us, app=171.7 us, total=473.8 us
  Run 249/1000: submitting... store+linker=402.2 us, deps=0.5 us, app=188.4 us, total=591.7 us
  Run 250/1000: submitting... store+linker=310.6 us, deps=0.4 us, app=162.3 us, total=473.7 us
  Run 251/1000: submitting... store+linker=328.4 us, deps=0.5 us, app=162.5 us, total=491.8 us
  Run 252/1000: submitting... store+linker=339.1 us, deps=0.5 us, app=182.2 us, total=522.3 us
  Run 253/1000: submitting... store+linker=234.2 us, deps=0.4 us, app=122.5 us, total=357.4 us
  Run 254/1000: submitting... store+linker=309.2 us, deps=0.6 us, app=158.1 us, total=468.4 us
  Run 255/1000: submitting... store+linker=234.9 us, deps=0.3 us, app=122.7 us, total=358.3 us
  Run 256/1000: submitting... store+linker=330.5 us, deps=0.7 us, app=160.9 us, total=492.6 us
  Run 257/1000: submitting... store+linker=347.6 us, deps=0.6 us, app=195.2 us, total=543.9 us
  Run 258/1000: submitting... store+linker=397.0 us, deps=0.8 us, app=201.0 us, total=599.4 us
  Run 259/1000: submitting... store+linker=361.4 us, deps=0.7 us, app=184.4 us, total=547.1 us
  Run 260/1000: submitting... store+linker=342.9 us, deps=0.7 us, app=190.6 us, total=534.8 us
  Run 261/1000: submitting... store+linker=301.5 us, deps=0.6 us, app=162.4 us, total=465.0 us
  Run 262/1000: submitting... store+linker=320.8 us, deps=0.5 us, app=236.0 us, total=557.9 us
  Run 263/1000: submitting... store+linker=302.0 us, deps=0.5 us, app=159.8 us, total=462.7 us
  Run 264/1000: submitting... store+linker=217.5 us, deps=0.3 us, app=120.6 us, total=338.7 us
  Run 265/1000: submitting... store+linker=344.2 us, deps=0.5 us, app=212.0 us, total=557.3 us
  Run 266/1000: submitting... store+linker=394.4 us, deps=0.6 us, app=182.1 us, total=577.8 us
  Run 267/1000: submitting... store+linker=297.6 us, deps=0.5 us, app=154.9 us, total=453.5 us
  Run 268/1000: submitting... store+linker=170.7 us, deps=0.3 us, app=122.3 us, total=293.6 us
  Run 269/1000: submitting... store+linker=239.3 us, deps=0.3 us, app=146.3 us, total=386.3 us
  Run 270/1000: submitting... store+linker=159.3 us, deps=0.3 us, app=117.6 us, total=277.3 us
  Run 271/1000: submitting... store+linker=346.7 us, deps=0.8 us, app=181.2 us, total=529.1 us
  Run 272/1000: submitting... store+linker=317.9 us, deps=0.6 us, app=162.3 us, total=481.7 us
